Algorithm, Step, Alternatives, Decisions, Choice, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s)
Flat Monte Carlo, 1, 0, 0, wget, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 2, 13, 13, base, 100, 0, 0, 0, 0.1532
Flat Monte Carlo, 3, 0, 0, wget, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 4, 13, 13, base, 100, 0, 0, 0, 0.1337
Flat Monte Carlo, 5, 0, 0, wget, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 6, 13, 13, base, 100, 0, 0, 0, 0.1248
Flat Monte Carlo, 7, 0, 0, wget, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 8, 13, 13, base, 100, 0, 0, 0, 0.1267
Flat Monte Carlo, 9, 0, 0, wget, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 10, 13, 13, base, 100, 0, 0, 0, 0.1236
Flat Monte Carlo, 11, 0, 0, wget, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 12, 13, 13, base, 100, 0, 0, 0, 0.1204
Flat Monte Carlo, 13, 0, 0, wget, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 14, 13, 13, base, 100, 0, 0, 0, 0.1177
Flat Monte Carlo, 15, 0, 0, wget, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 16, 13, 13, base, 100, 0, 0, 0, 0.1126
Flat Monte Carlo, 17, 0, 0, wget, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 18, 13, 13, base, 100, 0, 0, 0, 0.1258
Flat Monte Carlo, 19, 0, 0, wget, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 20, 13, 13, base, 100, 0, 0, 0, 0.1229
Flat Monte Carlo, 21, 0, 0, wget, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 22, 13, 13, base, 100, 0, 0, 0, 0.1297
Flat Monte Carlo, 23, 0, 0, wget, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 24, 13, 13, base, 100, 0, 0, 0, 0.1254
Flat Monte Carlo, 25, 0, 0, wget, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 26, 13, 13, base, 100, 0, 0, 0, 0.1231
Flat Monte Carlo, 27, 0, 0, wget, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 28, 13, 13, base, 100, 0, 0, 0, 0.118
Flat Monte Carlo, 29, 0, 0, wget, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 30, 13, 13, base, 100, 0, 0, 0, 0.1147
Flat Monte Carlo, 31, 0, 0, wget, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 32, 13, 13, base, 100, 0, 0, 0, 0.1315
Flat Monte Carlo, 33, 0, 0, wget, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 34, 13, 13, base, 100, 0, 0, 0, 0.1029
Flat Monte Carlo, 35, 0, 0, wget, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 36, 13, 13, base, 100, 0, 0, 0, 0.109
Flat Monte Carlo, 37, 0, 0, wget, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 38, 13, 13, base, 100, 0, 0, 0, 0.1233
Flat Monte Carlo, 39, 0, 0, wget, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 40, 13, 13, base, 100, 0, 0, 0, 0.1104
Flat Monte Carlo, 41, 0, 0, wget, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 42, 13, 13, base, 100, 0, 0, 0, 0.1066
Flat Monte Carlo, 43, 0, 0, wget, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 44, 13, 13, base, 100, 0, 0, 0, 0.1112
Flat Monte Carlo, 45, 0, 0, wget, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 46, 13, 13, base, 100, 0, 0, 0, 0.1246
Flat Monte Carlo, 47, 0, 0, wget, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 48, 13, 13, base, 100, 0, 0, 0, 0.1128
Flat Monte Carlo, 49, 0, 0, wget, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 50, 13, 13, base, 100, 0, 0, 0, 0.1261
Flat Monte Carlo, 51, 0, 0, wget, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 52, 13, 13, base, 100, 0, 0, 0, 0.123
Flat Monte Carlo, 53, 0, 0, wget, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 54, 13, 13, base, 100, 0, 0, 0, 0.1158
Flat Monte Carlo, 55, 0, 0, wget, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 56, 13, 13, base, 100, 0, 0, 0, 0.1166
Flat Monte Carlo, 57, 0, 0, wget, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 58, 13, 13, base, 100, 0, 0, 0, 0.1283
Flat Monte Carlo, 59, 0, 0, wget, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 60, 13, 13, base, 100, 0, 0, 0, 0.1132
